Año,Trimestre,Provincia,Mbps (Media de bajada),Periodo
2022,3,Buenos Aires,70,22-T3
2022,3,Capital Federal,101,22-T3
2022,3,Catamarca,61,22-T3
2022,3,Chaco,53,22-T3
2022,3,Chubut,16,22-T3
2022,3,Córdoba,56,22-T3
2022,3,Corrientes,45,22-T3
2022,3,Entre Ríos,42,22-T3
2022,3,Formosa,30,22-T3
2022,3,Jujuy,32,22-T3
2022,3,La Pampa,18,22-T3
2022,3,La Rioja,44,22-T3
2022,3,Mendoza,34,22-T3
2022,3,Misiones,49,22-T3
2022,3,Neuquén,48,22-T3
2022,3,Río Negro,34,22-T3
2022,3,Salta,41,22-T3
2022,3,San Juan,16,22-T3
2022,3,San Luis,19,22-T3
2022,3,Santa Cruz,13,22-T3
2022,3,Santa Fe,45,22-T3
2022,3,Santiago Del Estero,18,22-T3
2022,3,Tierra Del Fuego,11,22-T3
2022,3,Tucumán,53,22-T3
2022,2,Buenos Aires,66,22-T2
2022,2,Capital Federal,94,22-T2
2022,2,Catamarca,57,22-T2
2022,2,Chaco,51,22-T2
2022,2,Chubut,15,22-T2
2022,2,Córdoba,54,22-T2
2022,2,Corrientes,43,22-T2
2022,2,Entre Ríos,40,22-T2
2022,2,Formosa,28,22-T2
2022,2,Jujuy,29,22-T2
2022,2,La Pampa,16,22-T2
2022,2,La Rioja,43,22-T2
2022,2,Mendoza,30,22-T2
2022,2,Misiones,46,22-T2
2022,2,Neuquén,47,22-T2
2022,2,Río Negro,33,22-T2
2022,2,Salta,39,22-T2
2022,2,San Juan,14,22-T2
2022,2,San Luis,19,22-T2
2022,2,Santa Cruz,12,22-T2
2022,2,Santa Fe,42,22-T2
2022,2,Santiago Del Estero,16,22-T2
2022,2,Tierra Del Fuego,11,22-T2
2022,2,Tucumán,50,22-T2
2022,1,Buenos Aires,63,22-T1
2022,1,Capital Federal,88,22-T1
2022,1,Catamarca,51,22-T1
2022,1,Chaco,46,22-T1
2022,1,Chubut,13,22-T1
2022,1,Córdoba,50,22-T1
2022,1,Corrientes,38,22-T1
2022,1,Entre Ríos,36,22-T1
2022,1,Formosa,30,22-T1
2022,1,Jujuy,28,22-T1
2022,1,La Pampa,15,22-T1
2022,1,La Rioja,41,22-T1
2022,1,Mendoza,26,22-T1
2022,1,Misiones,42,22-T1
2022,1,Neuquén,43,22-T1
